author,date,title,summary,link
Ben Jackson,"Dec 11, 2019",Drupal South Hobart 2019 Recap,"Drupal South is one of the longest-running Drupal events in the Asia-Pacific region, and the key event for Drupal users in Australia and New Zealand. This ye...",/blog/post/drupal-south-hobart-2019-recap
Michael Schmid,"Dec 5, 2019",A traffic-based light display for DrupalCon Amsterdam!,A traffic-based light display for DrupalCon Amsterdam! We’ve been thinking for a while about what we could do to visually present part of our infrastructure....,/blog/post/a-traffic-based-light-display-for-drupalcon-amsterdam
Seth Meeks,"Nov 20, 2019","Welcome aboard, Sean!",amazee.io is proud to introduce Sean Hamlin — our new Technical Account Manager. Sean began his career as a Customer Service Representative at Inland Revenue...,/blog/post/welcome-aboard-sean
Seth Meeks,"Nov 13, 2019",DrupalSouth 2019 — Here We Come!,DrupalSouth is just around the corner and we can’t wait! One of the longest-running Drupal events in the Asia-Pacific region and the key event for Drupal use...,/blog/post/drupalsouth-2019-here-we-come
Chris Dixon,"Nov 11, 2019",DrupalCon Amsterdam 2019 Recap,"Curious about DrupalCon? Attendees at Amsterdam learned from sessions, scored some awesome swag (socks!) & got insights on Drupal 9, Open Source, Security & K8s",/blog/post/drupalcon-amsterdam-2019-recap
Tyler Ward,"Oct 11, 2019",BADCamp 2019 Recap,"BADCamp is an annual four-day event held in Berkeley, California and led by some of the best teachers in the community that offers sessions, training classes...",/blog/post/badcamp-2019-recap
Michael Schmid,"Oct 10, 2019",Contribute to Lagoon as part of Hacktoberfest 2019,"Hacktoberfest 2019 is underway! This event is open to developers, students, and anyone who wants to make contributions to an ever-growing community of open s...",/blog/post/contribute-to-lagoon-as-part-of-hacktoberfest-2019
Seth Meeks,"Oct 8, 2019",Webinar Announcement: Kubernetes 102,More and more often these days applications are being built using containers and since Kubernetes can enable its users to orchestrate and schedule containers...,/blog/post/webinar-announcement-kubernetes-102
Felix Morgan,"Oct 3, 2019",Join us at DrupalCon Amsterdam 2019!,amazee.io is proud to sponsor and attend DrupalCon Amsterdam this year along with more than 1500 of the top minds in the open source community who use Drupal...,/blog/post/join-us-at-drupalcon-amsterdam-2019
Seth Meeks,"Oct 2, 2019",GovCMS Mega Meetup Recap,"The GovCMS Mega Meetup 2019 was held recently in Canberra. amazee.io was in attendance, represented by Thom, Ben, and myself. This year the Mega Meetup had o...",/blog/post/govcms-mega-meetup-recap
Seth Meeks,"Sep 10, 2019","Welcome to the Team, Scott!","amazee.io is excited to introduce Scott Leggett, our new Systems Engineer. Scott grew up in Albany, Western Australia, before moving to Perth to complete his...",/blog/post/welcome-to-the-team-scott
Felix Morgan,"Aug 22, 2019","Welcome to the Team, Jaime!",amazee.io is excited to introduce Jaime De La Paz — our new Systems Support Engineer. Jaime was born in Mexico but grew up in El Paso. He moved around the st...,/blog/post/welcome-to-the-team-jaime
Nicole DeAngelis,"Aug 7, 2019",Supporting Open Government at Drupal GovCon,"amazee.io was in Bethesda, Maryland last week to meet with techies in government at Drupal GovCon, which took place at the National Institute of Health. As s...",/blog/post/supporting-open-government-at-drupal-govcon
Felix Morgan,"Aug 2, 2019",Register for our next Webinar: Kubernetes 101,"Join us on August 21 for our third amazee.io webinar. The topic will be an introduction to Kubernetes and how to run containers in production! Date: Aug 21, ...",/blog/post/register-for-our-next-webinar-kubernetes-101
Felix Morgan,"Aug 2, 2019",Decoupled Days 2019 Recap,"For the third year, Decoupled Days was held in New York City for anyone working with decoupled Drupal — including developers, executives, architects, and mar...",/blog/post/decoupled-days-2019-recap
Felix Morgan,"Jul 22, 2019","Welcome Aboard, Aysha!","amazee.io is excited to introduce Aysha Hoque — our new Marketing and Business Development Associate in Austin, Texas. Aysha is a recently graduated marketin...",/blog/post/welcome-aboard-aysha
Felix Morgan,"Jul 17, 2019",Meet us in DC at GovCon 2019!,"We’re excited to announce that amazee.io will be attending and sponsoring Drupal GovCon 2019 in the DC area, July 24–26. Drupal GovCon brings people together...",/blog/post/meet-us-in-dc-at-govcon-2019
Felix Morgan,"Jul 11, 2019",Support at amazee.io Means Teamwork and Collaboration,One of the things that makes amazee.io stand out from the crowd is our chat-based support. Clients can initiate conversations in their private dedicated chan...,/blog/post/support-at-amazee-io-means-teamwork-and-collaboration
Felix Morgan,"Jun 13, 2019",Don’t miss these sessions at Decoupled Days 2019!,amazee.io is thrilled to be attending and sponsoring Decoupled Days 2019 and we can’t wait to see what everyone will be sharing this year in New York. Decoup...,/blog/post/don-t-miss-these-sessions-at-decoupled-days-2019
Felix Morgan,"Jun 5, 2019",Register for our Webinar on managing multiple Drupal sites with Lagoon!,"Join us on June 12 our second amazee.io webinar. The topic will be an introduction to Managing multiple Drupal sites with Lagoon! Date: June 12, 2019 Time: 1...",/blog/post/register-for-our-webinar-on-managing-multiple-drupal-sites-with-lagoon
Felix Morgan,"May 21, 2019","Welcome, Chris Dixon!","We’re excited to welcome Chris Dixon, our new Technical Project Manager! Chris has been working in Information Technology, Project Management and Client Serv...",/blog/post/welcome-chris-dixon
Felix Morgan,"May 13, 2019","Welcome, Chris Davis!",We’re excited to welcome Chris Davis as our newest Systems Engineer. Chris served as a member of the US Marine Corps as an Electronic Switching Equipment Tec...,/blog/post/welcome-chris-davis
Felix Morgan,"May 2, 2019","Welcome, Vincenzo De Naro Papa!","amazee.io is proud to introduce our newest Systems Engineer, Vincenzo De Naro Papa! Born in Catania at the feet of the Etna Volcano, Vincenzo started playing...",/blog/post/welcome-vincenzo-de-naro-papa
Nicole DeAngelis,"Apr 16, 2019",amazee.io at DrupalCon Seattle,"In addition to other popular frameworks, amazee.io hosts hundreds of Drupal websites. So we make it a point to attend every DrupalCon, where we can meet up w...",/blog/post/amazee-io-at-drupalcon-seattle
Felix Morgan,"Mar 27, 2019",DrupalCon Seattle 2019,"We’re proud to sponsor, attend and present at DrupalCon 2019. Here’s where to find us, and what we’re looking forward to in Seattle this year! Monday and Tue...",/blog/post/drupalcon-seattle-2019
Felix Morgan,"Mar 18, 2019","Welcome, Ben Jackson",amazee.io is excited to welcome Ben Jackson as our newest system engineer! Ben started his professional career learning the basics about VHF and UHF radio an...,/blog/post/welcome-ben-jackson
Felix Morgan,"Mar 14, 2019",Lagoon Webinar Recap,The first amazee.io webinar was held on March 6th on the topic Lagoon: How to develop and host a Drupal site with containers. Container-based development and...,/blog/post/lagoon-webinar-recap
Michael Schmid,"Feb 12, 2019",How We Work Globally,"At amazee.io, we have a completely distributed team of engineers balancing support and engineering across time zones. We’re no stranger to working globally, w...",/blog/post/how-we-work-globally
Felix Morgan,"Feb 8, 2019",Lagoon Webinar Announcement,Join us on March 6th for the first amazee.io webinar. The topic will be an introduction to Lagoon: How to develop and host a Drupal site with containers. Dat...,/blog/post/lagoon-webinar-announcement
Michael Schmid,"Dec 11, 2018",DrupalSouth Canberra Recap,DrupalSouth is one of the longest-running Drupal events in the Asia-Pacific region. This year we partnered with Salsa Digital to sponsor this fantastic event...,/blog/post/drupalsouth-canberra-recap
Felix Morgan,"Nov 27, 2018",We’re Going to Drupal South!,"We’re excited to sponsor, present, and attend at one of the longest-running Drupal events in the Asia-Pacific region, DrupalSouth! The DrupalGov conference h...",/blog/post/we-re-going-to-drupal-south
Thom Toogood,"Nov 6, 2018",BADCamp 2018,"BADCamp is a special event on the Drupal calendar and it was a great opportunity to catch up with old friends, meet new people and hang out with some of the ...",/blog/post/badcamp-2018
Felix Morgan,"Oct 16, 2018",We’re Going to BADCamp,"Community is one of our core values at amazee.io and we can’t wait to see all of you at BADCamp this year! We’re proud to participate as sponsors, attendees,...",/blog/post/we-re-going-to-badcamp
Tyler Ward,"Oct 8, 2018",Balancing Engineering and Support at amazee.io,"We do support differently at amazee.io, there is no tier one or ticket system to navigate. The people that build the systems also support the systems and are...",/blog/post/balancing-engineering-and-support-at-amazee-io
Felix Morgan,"Oct 1, 2018","Welcome to the team, Nicole!","Meet our newest Project & Account Manager — Nicole DeAngelis. With a degree in Advertising from Temple University in Philadelphia, Nicole’s professional expe...",/blog/post/welcome-to-the-team-nicole
Michael Schmid,"Sep 24, 2018",Drupal Europe: From the website’s hoster’s perspective,"Drupal Events are for us something magical, outside people always ask me how I would describe a Drupal Camp and my common answer is they are like a summer ca...",/blog/post/drupal-europe-from-the-website-s-hoster-s-perspective
Michael Schmid,"Sep 19, 2018",Drupal Europe 2018 Recap,"I’ve attended many Drupal events over the years, but DrupalCon Europe was always very special to me. This year it was called Drupal Europe and organized enti...",/blog/post/drupal-europe-2018-recap
Felix Morgan,"Aug 10, 2018","Welcome, Brandon!","We’re excited to announce the latest addition to the amazee.io family, Brandon Williams! For the last two years he’s been kicking butt at Amazee Labs buildin...",/blog/post/welcome-brandon
Felix Morgan,"Jul 2, 2018","Welcome, Thom!",Thom Toogood has been using Drupal for almost eleven years. He comes to us from working with some of New Zealand and Australia’s biggest companies where he l...,/blog/post/welcome-thom
Bastian Widmer,"Jun 25, 2018",Important Learnings about Security from from Drupal HackCamp Bucharest,"When I was asked if I would like to speak at Drupal HackCamp in Bucharest, I was very excited. It’s a new trend that Camps that are catered towards one topic...",/blog/post/important-learnings-about-security-from-from-drupal-hackcamp-bucharest
Felix Morgan,"Jun 11, 2018",amazee.io Says Howdy to Texas Camp,"Drupal Camps play a different role in the community than the larger Con events, and Texas Camp is a great example of what makes them so great. amazee.io supp...",/blog/post/amazee-io-says-howdy-to-texas-camp
Bastian Widmer,"Jun 6, 2018",PHPDay & JSDay 2018,"The PHP and JS Days are some of the smaller conferences run by GRUSP, but the learnings and sense of community are big. I love attending nearby conferences, ...",/blog/post/phpday-jsday-2018
Bastian Widmer,"Apr 18, 2018",Web à Québec,I had the opportunity to speak at Web à Quebéc about Serverless and the future of infrastructure.The three-day web-centric conference is part of the Semaine ...,/blog/post/web-à-québec
Felix Morgan,"Dec 14, 2017",Part of Something Bigger: amazee.io’s In-Kind Partnerships.,At amazee.io we are proud to offer Drupal hosting for developers. The Drupal community is a tight-knit community based on an commitment to open source and li...,/blog/post/part-of-something-bigger-amazee-io-s-in-kind-partnerships
Felix Morgan,"Oct 17, 2017",BADCamp — here we come!,"amazee.io is a sponsor of BADCamp this year, and we’re so excited to support this Drupal Conference created by and for the incredible people of the community...",/blog/post/badcamp-here-we-come
Michael Schmid,"Oct 6, 2017",DrupalCon Vienna,How was my DrupalCon Vienna? I’m so glad you asked! It was a whirlwind. We may or may not have had a few Wiener Schnitzel meals during this week. But it was ...,/blog/post/drupalcon-vienna
Michael Schmid,"Sep 14, 2017","Welcome to the team, Felix!",Felix Morgan has joined the ranks of our Austin team as Marketing Coordinator and we’re excited to have her. Felix comes to us from a background in communica...,/blog/post/welcome-to-the-team-felix
Bastian Widmer,"Jul 25, 2017",Drupal Business & Community Days in Heidelberg,"Next to the Heidelberg zoo, beautifully framed with trees and the river Neckar, around 70 Drupalistas met for 2 days of sessions, sprints, and BOFs at Drupal...",/blog/post/drupal-business-community-days-in-heidelberg
Michael Schmid,"Jun 20, 2017",amazee.io at Texas Camp 2017,"In the beginning of June, just before Austin begins actual summer (100°F or higher), I attended Texas Camp as both a speaker and volunteer. The amazee.io tea...",/blog/post/amazee-io-at-texas-camp-2017
Felix Morgan,"May 11, 2017","The amazee.io family just grew by two; welcome, Juan and Elliot!","In the week since the amazee.io team returned from DrupalCon Baltimore, a lot has changed. Namely, we added two new people, and in doing so, doubled our tech...",/blog/post/the-amazee-io-family-just-grew-by-two-welcome-juan-and-elliot
Felix Morgan,"Apr 20, 2017","Welcome, Jon Clark","amazee.io has many things to celebrate right now, including new hires. We are excited to welcome Jon Clark to our team. Jon joined amazee.io as an account ma...",/blog/post/welcome-jon-clark
Bastian Widmer,"Mar 15, 2017",Mountain Camp Davos and DrupalCamp London — It’s a wrap!,"The past few weeks have been busy. Very busy! First there was Mountain Camp, situated in the snowy white scenery of Davos, in Switzerland. Around 140 Drupali...",/blog/post/mountain-camp-davos-and-drupalcamp-london-it-s-a-wrap
Bastian Widmer,"Feb 1, 2017",Going distributed: how the amazee.io team keeps in-sync across timezones,"As I type these lines here in Switzerland, my colleagues in the states aren’t yet awake. I’m keeping busy, working with customers and managing the on-call du...",/blog/post/going-distributed-how-the-amazee-io-team-keeps-in-sync-across-timezones
Michael Schmid,"Sep 23, 2016",Making the most of DrupalCon Dublin,"It’s that time again: DrupalCon is looming on the horizon. The DrupalCon session team did an awesome job selecting sessions, the BOF schedule is posted, AirB...",/blog/post/making-the-most-of-drupalcon-dublin
Felix Morgan,"Aug 18, 2016",Support your Community: Sponsoring DrupalCamp Colorado,"This weekend I attended DrupalCamp Colorado — first time attendee, first time sponsor. To start, I want to give a shout out to the camp organizers, they did ...",/blog/post/support-your-community-sponsoring-drupalcamp-colorado
